Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,1.1515314101209317,-,0.2598812046381947,0.03133485085996949,0.865831208020612,5.0032499999999995
Average,spp,1.139826343122281,-,0.21663038744581764,0.022740922589250624,0.9233915137114328,5.28975
Average,vldp,1.1691639116821355,-,0.2948111370919911,0.03961509762368874,0.8512834779157414,4.7572482920650625
Average,ampm,1.1389276588709532,-,0.21591240324865488,0.025297326206466058,0.9223286927367185,5.300498701876298
Average,sms,1.1120770536204416,-,0.19001419684825013,0.1393565272629208,0.7057123333222575,5.464622272315906
Average,bingo_thresh020,1.1153999743022482,-0.05376393737988727,0.19335931497486222,0.24646242168151233,0.6065593111881922,5.446372236378485
Average,no,1.0,-,0.0,0.0,-,6.751746602316763
mix1,bop,1.1515314101209317,-,0.2598812046381947,0.03133485085996949,0.865831208020612,5.0032499999999995
mix1,spp,1.139826343122281,-,0.21663038744581764,0.022740922589250624,0.9233915137114328,5.28975
mix1,vldp,1.1691639116821355,-,0.2948111370919911,0.03961509762368874,0.8512834779157414,4.7572482920650625
mix1,ampm,1.1389276588709532,-,0.21591240324865488,0.025297326206466058,0.9223286927367185,5.300498701876298
mix1,sms,1.1120770536204416,-,0.19001419684825013,0.1393565272629208,0.7057123333222575,5.464622272315906
mix1,bingo_thresh020,1.1153999743022482,-0.05376393737988727,0.19335931497486222,0.24646242168151233,0.6065593111881922,5.446372236378485
mix1,no,1.0,-,0.0,0.0,-,6.751746602316763
